"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US24003730901","Census Tract 7309.01, Anne Arundel County, Maryland","2666","152"
"1400000US24003731202","Census Tract 7312.02, Anne Arundel County, Maryland","8311","596"
"1400000US24033805906","Census Tract 8059.06, Prince George's County, Maryland","3328","376"
"1400000US24031704100","Census Tract 7041, Montgomery County, Maryland","4917","232"
"1400000US24031703201","Census Tract 7032.01, Montgomery County, Maryland","7958","448"
"1400000US24005490602","Census Tract 4906.02, Baltimore County, Maryland","2949","200"
"1400000US24005451803","Census Tract 4518.03, Baltimore County, Maryland","4455","362"
"1400000US24021750803","Census Tract 7508.03, Frederick County, Maryland","6563","485"
"1400000US24510160100","Census Tract 1601, Baltimore city, Maryland","2068","478"
"1400000US24510270101","Census Tract 2701.01, Baltimore city, Maryland","1511","190"
"1400000US24003706401","Census Tract 7064.01, Anne Arundel County, Maryland","7250","484"
"1400000US24015030400","Census Tract 304, Cecil County, Maryland","5172","488"
"1400000US24015031202","Census Tract 312.02, Cecil County, Maryland","5343","308"
"1400000US24005451402","Census Tract 4514.02, Baltimore County, Maryland","5125","728"
"1400000US24015030505","Census Tract 305.05, Cecil County, Maryland","4345","360"
"1400000US24015030906","Census Tract 309.06, Cecil County, Maryland","10024","531"
"1400000US24031705701","Census Tract 7057.01, Montgomery County, Maryland","4516","231"
"1400000US24510280200","Census Tract 2802, Baltimore city, Maryland","4960","492"
"1400000US24031700904","Census Tract 7009.04, Montgomery County, Maryland","3229","391"
"1400000US24031702602","Census Tract 7026.02, Montgomery County, Maryland","5384","504"
"1400000US24510120100","Census Tract 1201, Baltimore city, Maryland","4643","468"
"1400000US24005411407","Census Tract 4114.07, Baltimore County, Maryland","10732","1110"
"1400000US24027601204","Census Tract 6012.04, Howard County, Maryland","5760","367"
"1400000US24031701415","Census Tract 7014.15, Montgomery County, Maryland","7567","582"
"1400000US24005491401","Census Tract 4914.01, Baltimore County, Maryland","5477","501"
"1400000US24031703202","Census Tract 7032.02, Montgomery County, Maryland","5893","300"
"1400000US24047950900","Census Tract 9509, Worcester County, Maryland","1893","226"
"1400000US24017851301","Census Tract 8513.01, Charles County, Maryland","5106","328"
"1400000US24031705602","Census Tract 7056.02, Montgomery County, Maryland","4603","346"
"1400000US24025306400","Census Tract 3064, Harford County, Maryland","5974","292"
"1400000US24017850400","Census Tract 8504, Charles County, Maryland","3570","357"
"1400000US24033800408","Census Tract 8004.08, Prince George's County, Maryland","7526","792"
"1400000US24005402405","Census Tract 4024.05, Baltimore County, Maryland","3658","338"
"1400000US24011955301","Census Tract 9553.01, Caroline County, Maryland","4381","304"
"1400000US24005421000","Census Tract 4210, Baltimore County, Maryland","1814","203"
"1400000US24031704401","Census Tract 7044.01, Montgomery County, Maryland","3391","234"
"1400000US24031702101","Census Tract 7021.01, Montgomery County, Maryland","6174","482"
"1400000US24023000200","Census Tract 2, Garrett County, Maryland","4213","372"
"1400000US24025302802","Census Tract 3028.02, Harford County, Maryland","4879","412"
"1400000US24043001001","Census Tract 10.01, Washington County, Maryland","5335","430"
"1400000US24031701407","Census Tract 7014.07, Montgomery County, Maryland","5466","298"
"1400000US24510260102","Census Tract 2601.02, Baltimore city, Maryland","4625","498"
"1400000US24009860802","Census Tract 8608.02, Calvert County, Maryland","4748","363"
"1400000US24033806000","Census Tract 8060, Prince George's County, Maryland","4947","326"
"1400000US24027602600","Census Tract 6026, Howard County, Maryland","7979","720"
"1400000US24003730203","Census Tract 7302.03, Anne Arundel County, Maryland","5616","617"
