"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45079002400","Census Tract 24, Richland County, South Carolina","3692","320"
"1400000US45051070101","Census Tract 701.01, Horry County, South Carolina","5029","474"
"1400000US45075011000","Census Tract 110, Orangeburg County, South Carolina","6258","722"
"1400000US45041001200","Census Tract 12, Florence County, South Carolina","3307","270"
"1400000US45077010402","Census Tract 104.02, Pickens County, South Carolina","5453","486"
"1400000US45045001700","Census Tract 17, Greenville County, South Carolina","4046","437"
"1400000US45001950600","Census Tract 9506, Abbeville County, South Carolina","3122","392"
"1400000US45033970600","Census Tract 9706, Dillon County, South Carolina","7738","699"
"1400000US45015020503","Census Tract 205.03, Berkeley County, South Carolina","4930","431"
"1400000US45051040102","Census Tract 401.02, Horry County, South Carolina","5621","377"
"1400000US45077010403","Census Tract 104.03, Pickens County, South Carolina","2296","218"
"1400000US45011970400","Census Tract 9704, Barnwell County, South Carolina","4977","455"
"1400000US45045002108","Census Tract 21.08, Greenville County, South Carolina","1612","154"
"1400000US45003020500","Census Tract 205, Aiken County, South Carolina","8272","581"
"1400000US45059920600","Census Tract 9206, Laurens County, South Carolina","4252","341"
"1400000US45085001902","Census Tract 19.02, Sumter County, South Carolina","5885","602"
"1400000US45045002507","Census Tract 25.07, Greenville County, South Carolina","4901","411"
"1400000US45045002104","Census Tract 21.04, Greenville County, South Carolina","1839","348"
"1400000US45041002202","Census Tract 22.02, Florence County, South Carolina","3617","515"
"1400000US45079010307","Census Tract 103.07, Richland County, South Carolina","10527","647"
"1400000US45047971000","Census Tract 9710, Greenwood County, South Carolina","1901","174"
"1400000US45045002701","Census Tract 27.01, Greenville County, South Carolina","4221","223"
"1400000US45007000200","Census Tract 2, Anderson County, South Carolina","4483","332"
"1400000US45007011700","Census Tract 117, Anderson County, South Carolina","5518","496"
"1400000US45077010903","Census Tract 109.03, Pickens County, South Carolina","5502","543"
"1400000US45063020703","Census Tract 207.03, Lexington County, South Carolina","4250","383"
"1400000US45019003109","Census Tract 31.09, Charleston County, South Carolina","3481","360"
"1400000US45003021203","Census Tract 212.03, Aiken County, South Carolina","9231","558"
"1400000US45007011600","Census Tract 116, Anderson County, South Carolina","1924","168"
"1400000US45045001900","Census Tract 19, Greenville County, South Carolina","6552","441"
"1400000US45019002605","Census Tract 26.05, Charleston County, South Carolina","3915","397"
"1400000US45091061801","Census Tract 618.01, York County, South Carolina","2921","302"
"1400000US45045003500","Census Tract 35, Greenville County, South Carolina","2447","238"
"1400000US45055970500","Census Tract 9705, Kershaw County, South Carolina","5775","472"
"1400000US45051060208","Census Tract 602.08, Horry County, South Carolina","3949","441"
"1400000US45055970300","Census Tract 9703, Kershaw County, South Carolina","2093","299"
"1400000US45045001803","Census Tract 18.03, Greenville County, South Carolina","4257","384"
"1400000US45019005200","Census Tract 52, Charleston County, South Carolina","4875","267"
"1400000US45083023102","Census Tract 231.02, Spartanburg County, South Carolina","6466","649"
"1400000US45075010400","Census Tract 104, Orangeburg County, South Carolina","3473","537"
"1400000US45041002300","Census Tract 23, Florence County, South Carolina","3478","379"
"1400000US45051060308","Census Tract 603.08, Horry County, South Carolina","6175","823"
"1400000US45005970400","Census Tract 9704, Allendale County, South Carolina","3726","320"
"1400000US45059920800","Census Tract 9208, Laurens County, South Carolina","5828","415"
"1400000US45017950100","Census Tract 9501, Calhoun County, South Carolina","5179","376"
"1400000US45041000600","Census Tract 6, Florence County, South Carolina","5252","420"
"1400000US45007010103","Census Tract 101.03, Anderson County, South Carolina","8796","556"
"1400000US45061920302","Census Tract 9203.02, Lee County, South Carolina","5022","552"
"1400000US45063021205","Census Tract 212.05, Lexington County, South Carolina","3122","238"
"1400000US45083023500","Census Tract 235, Spartanburg County, South Carolina","5270","468"
"1400000US45045000200","Census Tract 2, Greenville County, South Carolina","1402","154"
"1400000US45083022403","Census Tract 224.03, Spartanburg County, South Carolina","8008","560"
"1400000US45007011202","Census Tract 112.02, Anderson County, South Carolina","9273","451"
"1400000US45019004702","Census Tract 47.02, Charleston County, South Carolina","2583","312"
"1400000US45043920400","Census Tract 9204, Georgetown County, South Carolina","2321","534"
"1400000US45045002808","Census Tract 28.08, Greenville County, South Carolina","8230","655"
"1400000US45045004101","Census Tract 41.01, Greenville County, South Carolina","3639","570"
"1400000US45057010300","Census Tract 103, Lancaster County, South Carolina","5554","641"
"1400000US45063020907","Census Tract 209.07, Lexington County, South Carolina","7517","519"
"1400000US45085000902","Census Tract 9.02, Sumter County, South Carolina","4013","268"
"1400000US45043920503","Census Tract 9205.03, Georgetown County, South Carolina","5825","421"
"1400000US45041000201","Census Tract 2.01, Florence County, South Carolina","2699","252"
"1400000US45059920301","Census Tract 9203.01, Laurens County, South Carolina","3681","318"
"1400000US45003020602","Census Tract 206.02, Aiken County, South Carolina","5472","650"
"1400000US45019001100","Census Tract 11, Charleston County, South Carolina","2819","492"
"1400000US45073030701","Census Tract 307.01, Oconee County, South Carolina","3798","596"
"1400000US45029970800","Census Tract 9708, Colleton County, South Carolina","1951","238"
"1400000US45073030300","Census Tract 303, Oconee County, South Carolina","6403","573"
"1400000US45083023802","Census Tract 238.02, Spartanburg County, South Carolina","5864","376"
"1400000US45057010100","Census Tract 101, Lancaster County, South Carolina","4522","384"
"1400000US45091061501","Census Tract 615.01, York County, South Carolina","7806","611"
"1400000US45091060402","Census Tract 604.02, York County, South Carolina","1939","220"
"1400000US45079010702","Census Tract 107.02, Richland County, South Carolina","4015","569"
